GEO_ID	NAME	ZIP	S1901_C01_012E	S1901_C01_012M	S1901_C01_013E	S1901_C01_013M
id	Geographic Area Name	Zip Code	Estimate!!Households!!Median income (dollars)	Margin of Error!!Households MOE!!Median income (dollars)	Estimate!!Households!!Mean income (dollars)	Margin of Error!!Households MOE!!Mean income (dollars)
8600000US27511	ZCTA5 27511	27511	74339	2827	96048	4458
8600000US27513	ZCTA5 27513	27513	92858	3539	114692	4381
8600000US27514	ZCTA5 27514	27514	70849	6692	118339	6660
8600000US27516	ZCTA5 27516	27516	85615	8041	125797	7754
8600000US27517	ZCTA5 27517	27517	84940	6205	136028	10206
8600000US27518	ZCTA5 27518	27518	106833	7812	137329	8394
8600000US27519	ZCTA5 27519	27519	130337	5361	146400	4943
8600000US27520	ZCTA5 27520	27520	65190	6241	75837	3423
8600000US27521	ZCTA5 27521	27521	44231	4809	53141	3610
8600000US27522	ZCTA5 27522	27522	65589	4369	74885	6283
8600000US27523	ZCTA5 27523	27523	102368	8238	119940	8522
8600000US27524	ZCTA5 27524	27524	48052	7939	64538	6128
8600000US27525	ZCTA5 27525	27525	51570	4041	64681	5522
8600000US27526	ZCTA5 27526	27526	76880	3378	92565	3670
8600000US27527	ZCTA5 27527	27527	87313	9895	99063	7274
8600000US27529	ZCTA5 27529	27529	60801	2819	78210	4735
8600000US27530	ZCTA5 27530	27530	36283	1844	55763	4146
8600000US27531	ZCTA5 27531	27531	-	**	-	**
8600000US27534	ZCTA5 27534	27534	48270	3684	63269	3819
8600000US27536	ZCTA5 27536	27536	29021	2823	54699	16064
8600000US27537	ZCTA5 27537	27537	42363	4054	58433	7334
8600000US27539	ZCTA5 27539	27539	105526	5684	122781	8449
8600000US27540	ZCTA5 27540	27540	102268	6037	115834	4340
8600000US27541	ZCTA5 27541	27541	64038	14192	83199	10284
8600000US27542	ZCTA5 27542	27542	46332	5775	59852	6273
8600000US27544	ZCTA5 27544	27544	56382	10924	58943	7420
8600000US27545	ZCTA5 27545	27545	63683	5355	77010	4861
8600000US27546	ZCTA5 27546	27546	48737	3441	59364	3563
8600000US27549	ZCTA5 27549	27549	47667	2670	57693	3706
8600000US27551	ZCTA5 27551	27551	46652	12223	62600	10617
8600000US27553	ZCTA5 27553	27553	35625	17158	51302	17217
8600000US27555	ZCTA5 27555	27555	30833	10948	40286	7548
8600000US27556	ZCTA5 27556	27556	17679	8290	26258	10328
8600000US27557	ZCTA5 27557	27557	43098	4171	47284	4808
8600000US27559	ZCTA5 27559	27559	68264	28439	87077	22350
8600000US27560	ZCTA5 27560	27560	93440	4860	111825	5326
